Name,Lon,Lat,Source,M2_amp,M2_phs,S2_amp,S2_phs,N2_amp,N2_phs,K2_amp,K2_phs,K1_amp,K1_phs,O1_amp,O1_phs,P1_amp,P1_phs,Q1_amp,Q1_phs,Location
"KESS_c6  2004-2006",148.85,36.35,Truth_Pelagic,0.192,183.77,0.102,227.99,0.015,160.56,0.029,221.71,0.187,24.46,0.152,5.39,0.06,22.34,0.031,355.83,Deep
"KESS_d4 2004-2006",146.45,35.59,Truth_Pelagic,0.209,194.27,0.11,233.46,0.018,184.61,0.031,227.14,0.194,28.73,0.157,9.93,0.062,26.72,0.032,0.1,Deep
"KESS_f3 2004-2006",145.5,34.01,Truth_Pelagic,0.205,204.63,0.11,240.28,0.02,205.49,0.031,233.77,0.189,32.99,0.152,13.96,0.061,31.05,0.031,3.98,Deep
"KESS_h6  2004-2006",148.35,32.37,Truth_Pelagic,0.156,198.66,0.09,237.32,0.011,203.36,0.025,230.76,0.167,31.74,0.134,11.69,0.053,29.76,0.028,1.7,Deep
"KESS_i1  2004-2006",144.09,31.49,Truth_Pelagic,0.204,223.54,0.109,252.99,0.025,232.97,0.03,246.49,0.181,40.26,0.143,21.14,0.058,38.42,0.03,11.02,Deep
"MOVE_M1_2004-6   20",-51.527,15.45,Truth_Pelagic,0.277,234.04,0.088,261.37,0.062,216.21,0.024,258.35,0.061,244.6,0.06,231.13,0.02,243.88,0.013,207.31,Deep
"MOVE_M2_2004-6   27",-56.95,15.987,Truth_Pelagic,0.17,235.04,0.058,257.19,0.039,217.91,0.015,252.68,0.069,235.45,0.063,226.34,0.022,234.69,0.013,205.83,Deep
"MOVE_M3_2004-6   19",-60.488,16.355,Truth_Pelagic,0.095,235.32,0.037,252.07,0.023,219.32,0.01,247.08,0.077,231,0.066,224.53,0.025,230.85,0.013,204.29,Deep
"MOVE_M6_2004-5   21",-56.68,20.592,Truth_Pelagic,0.099,297.55,0.03,309.73,0.022,275.66,0.008,307.94,0.056,224.51,0.054,220.92,0.018,225.08,0.012,200.74,Deep
"POL GRACE-2  ghf030",-40.37,-44.42,Truth_Pelagic,0.212,285.85,0.071,306.15,0.058,271.86,0.02,303.29,0.037,127.09,0.075,73.75,0.013,117.54,0.02,48.81,Deep
"POL GRACE-3  ghf030",-45.302,-43.198,Truth_Pelagic,0.207,285.5,0.06,311.36,0.061,269.17,0.016,310.32,0.044,135.56,0.087,78.16,0.015,125.19,0.024,52.11,Deep
"RAPID RL06 W1_06-08",-69.717,39.599,Truth_Pelagic,0.417,351.31,0.085,16.34,0.096,330.54,0.023,14.31,0.087,175.3,0.066,180.49,0.027,175.55,0.014,172.19,Deep
"RAPID RL08 A0_04-06",-52.188,43.26,Truth_Pelagic,0.362,337.67,0.101,11.68,0.076,319.99,0.028,9.58,0.057,164.16,0.046,170.01,0.018,164.23,0.009,155.14,Deep
"RAPID RL14 B0_04-06",-60.91,42.997,Truth_Pelagic,0.445,345.85,0.102,17.29,0.097,326.33,0.028,14.55,0.069,168.88,0.055,175.88,0.02,169.8,0.012,161.52,Deep
"RAPID r04 B5_06-07",-60.313,42.209,Truth_Pelagic,0.43,346.58,0.102,17.95,0.093,325.12,0.028,15.49,0.067,169.54,0.053,176.36,0.021,170.81,0.012,164.8,Deep
"RAPID_MAR1#1   (200",-50.26,24.491,Truth_Pelagic,0.153,320.98,0.051,349.12,0.031,298.48,0.014,347.66,0.032,220.36,0.039,222.73,0.011,221.51,0.01,202.86,Deep
"RAPID_MAR4#1   (200",-41.301,24.502,Truth_Pelagic,0.124,301.55,0.055,347.99,0.023,272.09,0.016,346.55,0.01,271.57,0.031,242.82,0.004,270.23,0.009,214.57,Deep
"URI DP111  Drake Pa",-61.046,-61.111,Truth_Pelagic,0.327,273.13,0.139,343.66,0.05,229.04,0.038,342.09,0.214,76.4,0.209,54,0.07,72.96,0.045,41.32,Deep
"URI DP119  Drake Pa",-63.912,-56.691,Truth_Pelagic,0.42,261.49,0.094,315.08,0.09,223.3,0.026,309.32,0.171,96.11,0.167,53.67,0.054,90.22,0.035,33.06,Deep
"59500 Penrith I.",149.9,-21,Truth_Shelf,1.516,27.76,0.566,13.6,0.384,23.9,0.148,10.58,0.37,36.49,0.184,8.67,0.105,34.81,0.037,357.31,Shelf
"59550 Bell Cay",151.25,-21.817,Truth_Shelf,1.127,2.06,0.456,357.5,0.207,357.5,0.133,351.58,0.308,17.29,0.162,351.77,0.092,15.51,0.043,343.71,Shelf
"59620 High Peak I.",150.683,-21.95,Truth_Shelf,1.496,8.16,0.563,4.5,0.392,2.8,0.166,0.68,0.348,23.09,0.169,354.37,0.096,25.81,0.051,340.81,Shelf
"59700 Heron I.",151.917,-23.45,Truth_Shelf,0.829,322.26,0.289,318.6,0.182,302.9,0.088,312.68,0.251,8.89,0.13,336.67,0.072,7.61,0.024,303.31,Shelf
"60585 Hogan I.",146.9777643,-39.215936,Truth_Shelf,0.671,28.66,0.112,209.9,0.194,358.7,0.022,221.68,0.212,295.59,0.138,277.27,0.063,291.41,0.038,252.91,Shelf
"60617 Curtis I.",146.717,-39.483,Truth_Shelf,0.81,32.36,0.133,201.9,0.199,353.2,0.026,213.68,0.203,296.39,0.131,271.57,0.061,292.21,0.039,245.61,Shelf
"60875 Three Hummock",144.833,-40.45,Truth_Shelf,0.782,62.16,0.101,172.8,0.182,37.7,0.015,181.38,0.13,301.29,0.097,269.77,0.039,299.81,0.027,268.91,Shelf
"61937 Shelf Edge Mo",135.75,-35.767,Truth_Shelf,0.135,71.15,0.149,109.7,0.01,156.62,0.043,111.42,0.177,244.11,0.133,227.84,0.056,240.09,0.029,215.31,Shelf
"61960 Pearson I.",134.2667425,-33.9287271,Truth_Shelf,0.202,77.75,0.232,110.4,0.026,156.72,0.075,105.82,0.161,235.31,0.14,223.34,0.054,229.39,0.035,212.81,Shelf
"62010 St Francis I.",133.317,-32.5,Truth_Shelf,0.246,75.45,0.313,109.3,0.035,231.02,0.101,105.52,0.183,236.11,0.12,224.34,0.062,229.39,0.052,245.71,Shelf
"62501 North West I.",115.512408,-20.3529582,Truth_Shelf,0.656,67.23,0.369,127.6,0.112,49.48,0.098,127.84,0.199,170.57,0.131,164.16,0.064,168.83,0.035,166.71,Shelf
"62610 Bedout I.",119.1024033,-19.6014554,Truth_Shelf,1.626,67.83,1.026,129.1,0.279,40.98,0.289,127.14,0.252,189.37,0.107,157.46,0.073,187.93,NaN,NaN,Shelf
"62990 North Maret I",124.983,-14.4,Truth_Shelf,1.896,68.43,1.229,124,0.295,54.68,0.354,122.34,0.324,182.27,0.188,174.86,0.094,183.93,0.043,171.31,Shelf
"63022 Heywood Shoal",124.05,-13.467,Truth_Shelf,1.506,63.63,0.946,121.5,0.259,39.38,0.273,119.94,0.297,175.47,0.236,159.66,0.086,176.93,0.07,152.21,Shelf
"63023 Pee Shoal",124.833,-11.767,Truth_Shelf,0.907,79.03,0.515,122.5,0.179,63.18,0.148,120.84,0.344,182.47,0.202,167.76,0.1,183.93,0.052,175.11,Shelf
"63028 Van Cloon Sho",126.417,-12.65,Truth_Shelf,0.556,76.03,0.376,122.3,0.071,62.18,0.106,121.44,0.406,184.97,0.228,176.56,0.113,184.73,0.047,159.31,Shelf
"63040 Lesueur I.",127.283,-13.833,Truth_Shelf,0.391,305.73,0.063,3.4,0.075,290.58,0.018,1.84,0.567,202.67,0.321,198.86,0.152,205.43,0.039,199.61,Shelf
"63107 Calder Shoal",129.067,-10.85,Truth_Shelf,0.634,165.85,0.291,222.3,0.119,148.32,0.082,225.42,0.434,188.51,0.234,174.84,0.124,187.99,0.048,156.81,Shelf
"63177 Cape Scott (o",129.533,-13.417,Truth_Shelf,1.433,245.45,0.685,292.4,0.224,220.72,0.192,290.12,0.526,192.41,0.329,182.54,0.147,194.99,0.061,164.51,Shelf
"63447 Cape Wessel w",136.017,-10.917,Truth_Shelf,0.988,297.45,0.333,4.7,0.225,278.92,0.106,351.02,0.348,287.41,0.391,251.94,0.086,276.79,0.096,213.31,Shelf
"63483 Truant I.",136.817,-11.65,Truth_Shelf,0.848,330.85,0.265,44.3,0.18,300.72,0.088,24.62,0.325,313.71,0.254,252.34,0.077,309.69,0.045,217.91,Shelf
"63587 Nassau R. (OF",140.2,-15.4,Truth_Shelf,0.041,140.76,0.04,280.9,0.003,198.2,NaN,NaN,0.513,153.49,0.364,90.27,0.144,156.11,0.073,53.71,Shelf
"Adriatic VR2 BPR  B",12.637,45.279,Truth_Shelf,0.227,257.8,0.139,263.7,0.039,257.3,0.038,264.2,0.168,63.1,0.051,45.5,0.053,59.7,NaN,NaN,Shelf
"Atl.Bight LTM    18",-72.917,40.117,Truth_Shelf,0.534,348,0.118,14,0.128,331,NaN,NaN,0.092,169,0.059,174,NaN,NaN,NaN,NaN,Shelf
"DDH #1 DAG Bottom g",3.333,54.833,Truth_Shelf,0.456,149.3,0.132,197.2,0.084,125.4,0.037,197.2,0.045,304.6,0.052,145.5,0.015,304.6,0.019,126.5,Shelf
"DDH #12        dept",5.664,54.335,Truth_Shelf,0.344,243.4,0.096,297.6,0.057,237.2,0.026,297.4,0.049,0.6,0.059,209.1,0.016,0.8,0.019,142,Shelf
"DDH #13       depth",5.117,54.438,Truth_Shelf,0.337,217.4,0.085,270.8,0.064,195.6,0.023,270.8,0.044,352.5,0.047,189.1,0.014,352.5,0.021,136.2,Shelf
"DDH #16",3.493,53.831,Truth_Shelf,0.593,177.1,0.2,226.4,0.109,161.9,0.054,226.3,0.052,345.3,0.096,160.2,0.017,345.3,0.045,76.9,Shelf
"DDH #18",3.033,54.033,Truth_Shelf,0.677,166.2,0.234,220,0.093,154.5,0.064,219.9,0.09,330,0.08,153.2,0,0,0.029,86.4,Shelf
"DDH #20",4.75,54.1,Truth_Shelf,0.449,204,0.117,259.1,0.086,180.3,0.032,259,0.053,340.2,0.064,182.4,0.018,340.2,0.029,139.1,Shelf
"DDH #3 DAG Bottom g",4.45,54.867,Truth_Shelf,0.268,173.2,0.069,223.9,0.051,146.4,0.019,223.9,0.035,330.1,0.036,169.6,0.012,330.1,0.018,140.3,Shelf
"DDH #4 DAG Bottom g",4.017,55,Truth_Shelf,0.305,155.8,0.082,204.9,0.056,131.2,0.023,204.9,0.035,314.7,0.04,160.9,0.012,314.7,0.016,138.8,Shelf
"DDH #5 DAG Bottom g",3.167,55.333,Truth_Shelf,0.412,126.7,0.114,172.6,0.079,100.1,0.032,172.6,0.046,298.2,0.045,137,0.015,298.2,0.018,103.9,Shelf
"DDH #6 DAG Bottom g",4.667,55.333,Truth_Shelf,0.144,151.5,0.033,201.2,0.023,132.4,0.009,201.2,0.025,330.5,0.023,178.5,0.008,330.5,0.017,153.4,Shelf
"DDH #7 DAG Bottom g",3.067,55.633,Truth_Shelf,0.389,113.5,0.103,157,0.071,88.3,0.029,157,0.041,292.3,0.044,136.9,0.014,292.3,0.018,115.6,Shelf
"DDH #8 209 DAG Bott",4.417,53.833,Truth_Shelf,0.605,189.6,0.165,247.1,0.092,170.3,0.048,247.5,0.065,334.6,0.072,179,0.022,349.5,0.024,99.1,Shelf
"GLOUP 000012   b003",-2.438,58.617,Truth_Shelf,0.76,325.8,0.27,2.36,0.156,303.31,NaN,NaN,0.072,191.68,0.092,32.09,NaN,NaN,0.038,314.3,Shelf
"GLOUP 000013   b003",-3.717,53.767,Truth_Shelf,2.663,318.03,0.869,358.64,0.525,294.84,NaN,NaN,0.126,179.85,0.127,43.8,NaN,NaN,0.046,345.3,Shelf
"GLOUP 000015   b003",-3.563,50.252,Truth_Shelf,1.46,164.11,0.583,218.68,0.265,157.32,NaN,NaN,0.092,109.37,0.057,354.61,NaN,NaN,0.02,287.85,Shelf
"GLOUP 000016   b003",-4.117,53.763,Truth_Shelf,2.377,317.42,0.754,355.1,0.465,295.34,NaN,NaN,0.111,202.08,0.118,41.79,NaN,NaN,0.035,25.97,Shelf
"GLOUP 000017   b003",-6.6,51.75,Truth_Shelf,1.444,154.2,0.497,201.7,0.275,138.9,NaN,NaN,0.039,132.76,0.057,15.28,NaN,NaN,0.014,331.23,Shelf
"GLOUP 000018   b003",7.167,55.083,Truth_Shelf,0.393,334.36,0.109,34.53,0.071,304.03,NaN,NaN,0.034,30.86,0.06,257.74,NaN,NaN,0.028,170.11,Shelf
"GLOUP 000019   b003",7.833,55,Truth_Shelf,0.617,343.37,0.166,45.69,0.114,311.27,NaN,NaN,0.043,38.37,0.08,264.03,NaN,NaN,0.038,165.1,Shelf
"GLOUP 000022   b003",2.1,53.24,Truth_Shelf,0.862,187.21,0.312,237.37,0.174,165.36,NaN,NaN,0.114,305.75,0.116,144.14,NaN,NaN,0.052,105.16,Shelf
"GLOUP 000023   b003",0.84,54.01,Truth_Shelf,1.461,139.9,0.509,185.52,0.293,116.47,NaN,NaN,0.12,270.02,0.141,107.67,NaN,NaN,0.054,62.12,Shelf
"GLOUP 000024   b003",0.25,54.8,Truth_Shelf,1.258,109.04,0.428,152.57,0.252,85.85,NaN,NaN,0.096,253.17,0.115,93.96,NaN,NaN,0.048,49.74,Shelf
"GLOUP 000025   b003",-0.545,55.327,Truth_Shelf,1.282,87.58,0.438,129.73,0.254,64.35,NaN,NaN,0.091,238.16,0.115,80.57,NaN,NaN,0.044,42.21,Shelf
"GLOUP 000026 b003",-1.2,56.267,Truth_Shelf,1.21,57.23,0.416,97.54,0.241,34.51,NaN,NaN,0.087,216.01,0.111,66.46,NaN,NaN,0.043,21.9,Shelf
"GLOUP 000049   b003",-7.5,58.783,Truth_Shelf,1.049,191.08,0.405,223.9,0.211,170.2,NaN,NaN,0.118,139.88,0.086,5.38,NaN,NaN,0.036,323.27,Shelf
"GLOUP 000059   b004",4.517,59.333,Truth_Shelf,0.246,285.62,0.101,326.39,0.047,260.15,NaN,NaN,0.019,164.8,0.021,40.85,NaN,NaN,0.018,257.43,Shelf
"GLOUP 000082 1.1.77",-7.398,58.987,Truth_Shelf,0.989,193.15,0.384,226.19,0.203,172.51,NaN,NaN,0.115,148.29,0.086,5.44,NaN,NaN,0.023,314.68,Shelf
"GLOUP 000084 1.1.79",-6.008,59.645,Truth_Shelf,0.853,209.72,0.329,241.93,0.172,188.2,NaN,NaN,0.094,153.62,0.077,10.5,NaN,NaN,0.025,334.95,Shelf
"GLOUP 000087 1.1.81",-1.552,61.132,Truth_Shelf,0.561,266.97,0.199,299.94,0.115,245.27,NaN,NaN,0.077,153.18,0.068,20.44,NaN,NaN,0.023,336.79,Shelf
"GLOUP 000090 1.1.83",0.022,61.5,Truth_Shelf,0.524,281.56,0.185,315.72,0.107,259.94,NaN,NaN,0.073,156.47,0.072,25.89,NaN,NaN,0.023,343.24,Shelf
"GLOUP 000185   b003",0.76,55.583,Truth_Shelf,0.868,92.34,0.286,134.36,0.173,69.14,NaN,NaN,0.066,250.82,0.086,92.76,NaN,NaN,0.037,44.73,Shelf
"GLOUP 000189   b003",2.217,52.467,Truth_Shelf,0.38,275.63,0.13,309.64,0.07,244.92,NaN,NaN,0.058,1.33,0.107,166.53,NaN,NaN,0.023,143.27,Shelf
"GLOUP 000195   b003",-4.135,53.77,Truth_Shelf,2.376,316.09,0.766,355.17,0.482,296.71,NaN,NaN,0.105,177.41,0.139,50.17,NaN,NaN,0.057,331.76,Shelf
"GLOUP 000196   b003",-5.01,51.41,Truth_Shelf,2.341,165.01,0.848,210.22,0.462,139.31,NaN,NaN,0.073,121.69,0.057,352.28,NaN,NaN,0.037,291.1,Shelf
"GLOUP 000197   b003",-4.998,50.918,Truth_Shelf,2.383,153.08,0.855,198.19,0.457,125.72,NaN,NaN,0.071,107.49,0.052,348.95,NaN,NaN,0.039,282.79,Shelf
"GLOUP 000200 1.4.3",-47.51,-26.3,Truth_Shelf,0.248,157.62,0.163,159.14,0.041,226.37,NaN,NaN,0.066,178.77,0.106,115.13,NaN,NaN,0.036,83.51,Shelf
"GLOUP 000201   b003",-47.51,-26.3,Truth_Shelf,0.248,157.69,0.162,159.07,0.041,226.32,NaN,NaN,0.066,179.15,0.105,114.96,NaN,NaN,0.035,84.03,Shelf
"GLOUP 000206 1.1.19",-6.357,59.492,Truth_Shelf,0.924,205.32,0.358,237.46,0.186,183.62,NaN,NaN,0.109,144.49,0.084,10.94,NaN,NaN,0.035,329.49,Shelf
"GLOUP 000248   b003",-6.943,51.048,Truth_Shelf,1.649,143.88,0.564,193.25,0.315,120.78,NaN,NaN,0.044,125.48,0.04,356.84,NaN,NaN,0.007,14.77,Shelf
"GLOUP 000249   b003",-7.2,47.75,Truth_Shelf,1.3,102.46,0.451,139.05,0.27,82.82,NaN,NaN,0.074,70.14,0.069,327,NaN,NaN,0.023,283.68,Shelf
"GLOUP 000250   b003",-0.05,59.297,Truth_Shelf,0.526,319.44,0.188,353.69,0.1,297.53,NaN,NaN,0.063,182.05,0.06,32.63,NaN,NaN,0.023,320.88,Shelf
"GLOUP 000254 1.1.48",-1.25,58.933,Truth_Shelf,0.67,323.11,0.241,357.97,0.137,300.19,NaN,NaN,0.061,191.41,0.085,37.54,NaN,NaN,0.029,309.53,Shelf
"'CRAIG, AK'",-133.142,55.4883,NOAA,1.135,269.3,0.335,301.2,0.237,243,0.091,303.8,0.442,263.2,0.272,247,0.146,262,0.023,356.2,Deep
"'Chirikof Island, AK'",-155.74,55.8083,NOAA,0.903,302.9,0.31,335.4,0.179,280.5,0.084,338,0.44,277.2,0.3,260.4,0.146,275.9,0.056,257.6,Deep
"'North Foreland, AK'",-151.163,61.0433,NOAA,2.48,75.1,0.74,108.9,0.448,39.7,0.201,111.6,0.592,327.3,0.362,313.4,0.196,326.2,0.078,317.1,Deep
"'Rappahannock Light, VA'",-76.015,37.5383,NOAA,0.239,86.8,0.034,113,0.042,66.9,0.009,115.2,0.04,222.4,0.03,248.5,0.013,224.4,0.007,256.1,Deep
"'Realitos Peninsula, TX'",-97.2828538,26.2631697,NOAA,0.01,53.4,0.002,81.8,0.002,24.2,0.005,50,0.055,123.8,0.05,112.9,0.013,116.8,0.029,12.8,Deep
"'SEAL ISLAND, AK'",-147.41,60.425,NOAA,1.346,288.8,0.455,319.6,0.279,264.4,0.124,322.1,0.488,273.2,0.293,258,0.161,272,0.06,249.3,Deep
"'Saipan,'",145.7370054,15.2271555,NOAA,0.188,296.2,0.043,305.3,0.046,278.9,0.015,300.7,0.167,64.9,0.113,45.6,0.061,66.7,0.025,33.3,Deep
"'Settlement Point, Bahamas'",-78.9967,26.71,NOAA,0.405,10.6,0.07,36.6,0.093,349.8,0.018,36.6,0.067,197.1,0.046,199.2,0.021,197.2,0.011,214.3,Deep
"'Silver Eel Pond, NY'",-72.03,41.2567,NOAA,0.323,60.1,0.061,73.8,0.078,37.6,0.016,68.9,0.074,178.9,0.047,208.1,0.025,199.6,0.013,192.7,Deep
"'Sitkalidak Island GPS Tide Buoy, AK'",-153.2522,56.9657,NOAA,0.908,298.7,0.328,329.2,0.18,274.6,0.089,331.7,0.335,272.2,0.227,258.1,0.111,271.2,0.043,257.6,Deep
"'Trident Bay, Akun Island, AK'",-165.527,54.14,NOAA,0.252,340.4,0.122,336.4,0.076,335.4,0.033,336.1,0.327,300.1,0.238,285.5,0.108,299,0.048,264.4,Deep
"'Wake Island, Pacific Ocean,'",166.6133943,19.2887152,NOAA,0.288,115.1,0.146,150.1,0.048,106.4,0.042,144,0.063,45.1,0.051,14.7,0.02,43.6,0.013,3.9,Deep
"BASQUES    WOCE fas",-59.133,47.567,Truth_Coast,0.428,9.24,0.125,51.04,0.089,346.62,0.034,51.04,0.077,240.05,0.085,225.76,0.037,227.64,0.013,162.09,NS
"FORT POI   WOCE fas",-122.465,37.807,Truth_Coast,0.58,210.04,0.136,217.25,0.124,184.13,0.041,208.34,0.371,226.29,0.23,209.7,0.116,224.04,0.04,202.37,NS
"ACCCP Shannon Seamo",2.339,-42.993,Truth_Pelagic,0.36,26.79,0.137,48.71,0.079,16.98,0.038,43.33,0.018,105.76,0.01,15.74,0.005,99.25,0.003,337.08,Deep
"ASTTEX 01 - D.Byrne",15.813,-31.957,Truth_Pelagic,0.508,31.79,0.214,51.13,0.111,21.55,0.061,47.47,0.052,101.06,0.015,225.28,0.014,101.68,0.01,206.73,Deep
"ASTTEX 03 - D.Byrne",14.583,-34.124,Truth_Pelagic,0.498,32.85,0.212,53.15,0.109,23.2,0.06,49.02,0.048,107.4,0.013,229.52,0.013,105.92,0.008,210.99,Deep
"ASTTEX 06 - D.Byrne",13.465,-35.975,Truth_Pelagic,0.485,33.28,0.207,54.43,0.106,24.09,0.058,50.46,0.043,111.28,0.011,238.67,0.012,110.17,0.007,217.02,Deep
"ASTTEX 12 - D.Byrne",11.315,-39.241,Truth_Pelagic,0.453,33.08,0.191,55.52,0.098,23.71,0.054,51.5,0.034,115.27,0.008,278.33,0.009,113.45,0.005,238.45,Deep
"AWI_ANT11-3   acc_a",1.439,-50.258,Truth_Pelagic,0.233,20.04,0.08,46.72,0.054,13.49,0.022,39.38,0.022,33.58,0.039,355.31,0.008,25.54,0.01,340.81,Deep
"AWI_ANT13b-2   acc_",0,-53.521,Truth_Pelagic,0.157,12.07,0.039,37.69,0.039,9.38,0.01,23.19,0.034,12.35,0.052,352.73,0.012,9.41,0.013,340.62,Deep
"AWI_ANT5-1   acc_aw",9.944,-41.134,Truth_Pelagic,0.424,32.04,0.177,54.94,0.092,23.71,0.049,50.36,0.028,113.6,0.009,309.93,0.008,108.08,0.005,278.07,Deep
"AWI_ANT539-1   acc_",-8.482,-46.216,Truth_Pelagic,0.241,0.86,0.082,16.15,0.055,352.91,0.023,9.07,0.017,78.97,0.027,27.46,0.006,69.46,0.007,11.14,Deep
"AWI_ANT9-1   acc_aw",4.262,-47.656,Truth_Pelagic,0.294,25.51,0.112,50.89,0.065,17.37,0.031,45.57,0.016,66.08,0.028,351.26,0.005,52.31,0.008,330.51,Deep
"BEMPEX PC Guile",-169.343,40.682,Truth_Pelagic,0.189,321.9,0.098,326.74,0.049,313.8,0.028,319.4,0.202,283.5,0.137,272.3,0.064,279.6,0.024,268.4,Deep
"BEMPEX PD Aug86",-156.012,40.465,Truth_Pelagic,0.34,290.4,0.144,321.29,0.064,275.7,0.041,314.7,0.239,260.5,0.15,247.9,0.076,256.9,0.026,242.4,Deep
"BEMPEX PH     Aug86",-160.068,43.338,Truth_Pelagic,0.351,299.9,0.149,324.5,0.073,285.9,0.042,317.6,0.259,271.1,0.166,258,0.082,267.2,0.029,252.4,Deep
"DART 23227  Bay_Ben",88.792,6.255,Truth_Pelagic,0.148,44.46,0.064,63.15,0.034,41.44,0.017,61.86,0.064,214.77,0.026,182.04,0.018,216.02,0.007,90.5,Deep
"DART 32413  Equator",-93.5,-7.397,Truth_Pelagic,0.326,255.31,0.135,275.72,0.072,235.59,0.037,270.51,0.095,27.68,0.032,346.98,0.029,26.35,0.003,294.74,Deep
"DART 46409  Gulf_Al",-148.4271094,55.3,Truth_Pelagic,0.883,288.26,0.297,319.48,0.185,264.2,0.081,312.56,0.439,268.31,0.275,253.35,0.138,265.27,0.049,246.3,Deep
"DART 46412  San Die",-120.699,32.247,Truth_Pelagic,0.423,150.87,0.16,141.24,0.102,128.88,0.047,133.7,0.328,211.96,0.208,197.01,0.104,208.37,0.038,189.04,Deep
"DART_21413 (2006",152.118,30.55,Truth_Pelagic,0.112,178.34,0.07,224.22,0.008,141.92,0.02,216.67,0.142,30.3,0.115,8.8,0.045,28.27,0.024,358.13,Deep
"DART_21415   (2007",171.7171836,50.1969951,Truth_Pelagic,0.176,94.3,0.033,204.48,0.047,39.99,0.009,206.45,0.329,335.2,0.241,317.9,0.106,332.06,0.047,308.69,Deep
"DART_21418 (2007",148.694,38.711,Truth_Pelagic,0.217,178.03,0.109,223.48,0.025,147.61,0.031,217.67,0.205,21.71,0.167,3.29,0.065,21.1,0.035,352.26,Deep
"60610 Rabbit I.",146.517,-38.917,Truth_Shelf,0.697,43.16,0.169,216.6,0.165,7.7,0.034,228.38,0.238,297.99,0.158,273.77,0.071,293.71,0.038,251.91,Shelf
"61945 Greenly I.",134.783,-34.65,Truth_Shelf,0.157,73.45,0.19,110.5,0.011,169.52,0.056,109.22,0.165,238.21,0.126,223.74,0.049,235.19,0.033,208.51,Shelf
"Adriatic CP2 BPR  B",12.855,44.461,Truth_Shelf,0.146,265.8,0.088,272,0.025,265.4,0.024,272.6,0.152,66.2,0.047,48.9,0.048,63.1,NaN,NaN,Shelf
"Adriatic SS9 BPR  B",14.175,44.41,Truth_Shelf,0.078,226.3,0.044,231.5,0.014,228.5,0.012,232.2,0.133,54.1,0.041,38,0.042,51.1,NaN,NaN,Shelf
"DDH #11       depth",5.492,54.187,Truth_Shelf,0.475,234.6,0.119,293.6,0.085,208.1,0.034,293.6,0.053,353.1,0.066,194.4,0.018,353.1,0.02,147.5,Shelf
"DDH #14         dep",2.976,54.344,Truth_Shelf,0.606,157.7,0.178,205.6,0.105,133.2,0.048,205.4,0.082,294,0.061,163,0.027,294.2,0.032,79.1,Shelf
"DDH #17",3.883,53.917,Truth_Shelf,0.567,184.2,0.174,236.5,0.093,161.6,0.047,236.4,0.07,330.8,0.071,169.9,0.023,330.8,0.024,121.6,Shelf
"DDH #9 DAG Bottom g",3.667,55.167,Truth_Shelf,0.317,140.4,0.083,187.6,0.059,114.3,0.023,187.6,0.033,306.5,0.04,148.6,0.011,306.5,0.01,77.6,Shelf
"GLOUP 000008   b003",-5.367,53.442,Truth_Shelf,1.394,309.22,0.454,342.41,0.271,284.74,NaN,NaN,0.099,194.56,0.103,41.81,NaN,NaN,0.029,1.66,Shelf
"GLOUP 000011   b003",3.242,52.452,Truth_Shelf,0.157,53.67,0.024,168.57,0.025,185.93,NaN,NaN,0.095,341.36,0.111,172.15,NaN,NaN,0.033,163.33,Shelf
"GLOUP 000086   b004",-4.98,60.528,Truth_Shelf,0.592,225.21,0.222,257.23,0.12,203.53,NaN,NaN,0.085,140.22,0.062,6.85,NaN,NaN,0.022,321.96,Shelf
"GLOUP 000204 1.1.17",-8.583,58.033,Truth_Shelf,1.071,178.34,0.41,211.66,0.219,156.29,NaN,NaN,0.1,130.16,0.081,358.13,NaN,NaN,0.037,311.4,Shelf
"GLOUP 000255 1.1.49",0.252,59.32,Truth_Shelf,0.47,317.8,0.179,351.15,0.096,292.15,NaN,NaN,0.039,192.55,0.06,42.14,NaN,NaN,0.013,297.31,Shelf
"GLOUP 000262   b003",-5.742,55.86,Truth_Shelf,0.27,90.38,0.185,150.68,0.036,66.54,NaN,NaN,0.117,186.83,0.07,45.31,NaN,NaN,0.042,344.6,Shelf
"GLOUP 000263   b003",-5.595,54.962,Truth_Shelf,0.945,324.76,0.233,10.3,0.2,299.16,NaN,NaN,0.127,184.03,0.082,43.41,NaN,NaN,0.043,348.61,Shelf
"GLOUP 000264   b003",-6.163,55.463,Truth_Shelf,0.072,125.95,0.124,168.88,0.011,195.56,NaN,NaN,0.116,182.36,0.072,41.47,NaN,NaN,0.042,340.73,Shelf
"GLOUP 000265 1.1.61",-9.992,55.003,Truth_Shelf,1.169,157.51,0.438,191.81,0.243,137.91,NaN,NaN,0.13,114.69,0.081,351.04,NaN,NaN,0.034,292.14,Shelf
"GLOUP 000268   b003",-8.517,51.355,Truth_Shelf,1.304,140.32,0.414,179.9,0.265,118.74,NaN,NaN,0.021,109.85,0.017,19.16,NaN,NaN,0.014,352.12,Shelf
"GLOUP 000269 1.1.56",-7.612,50.528,Truth_Shelf,1.533,136.15,0.521,176.02,0.309,116.08,NaN,NaN,0.049,114.47,0.04,352.93,NaN,NaN,0.022,319.43,Shelf
"GLOUP 000270 1.1.57",-8.528,49.66,Truth_Shelf,1.377,122.9,0.462,159.33,0.286,104.17,NaN,NaN,0.083,104.69,0.061,351.25,NaN,NaN,0.015,4.07,Shelf
