Name,Lon,Lat,Source,M2_amp,M2_phs,S2_amp,S2_phs,N2_amp,N2_phs,K2_amp,K2_phs,K1_amp,K1_phs,O1_amp,O1_phs,P1_amp,P1_phs,Q1_amp,Q1_phs,Location
"'St John's Island, Coral Harbor, VI'",-64.7946926,18.3330145,NOAA,0.054,16,0.009,26.4,0.009,2,0.002,27.3,0.086,226.2,0.059,222.7,0.028,226,0.01,210.4,Deep
"'THE BROTHERS, STEPHENS PASSAGE, AK'",-133.797,57.295,NOAA,1.794,280,0.591,312.8,0.367,257.6,0.16,315.5,0.5,264.3,0.3,248.5,0.165,263.1,0.057,234.7,Deep
"'Thoms Point, AK'",-132.078,56.1183,NOAA,1.979,272.3,0.654,302.7,0.356,241.3,0.178,305.2,0.52,261.7,0.315,245.5,0.172,260.5,0.053,240.4,Deep
"'Water Bay, VI'",-64.864259,18.3487803,NOAA,0.108,12.8,0.018,38,0.024,351.6,0.005,39.9,0.075,218.2,0.058,217.1,0.025,218.1,0.009,208.3,Deep
"'Wooded Island, AK'",-147.403,59.875,NOAA,1.133,289.5,0.385,319.9,0.244,265.3,0.105,322.4,0.474,272.1,0.288,257.8,0.157,271,0.057,250.4,Deep
"ARICA      WOCE fas",-70.333,-18.467,Truth_Coast,0.329,27.15,0.094,48.87,0.072,347.95,0.031,39.66,0.151,32.96,0.084,350.63,0.044,28.7,0.014,321.98,NS
"DARWIN     WOCE fas",130.8487554,-12.4727408,Truth_Coast,1.845,249.2,0.951,298.16,0.35,228.41,0.271,296.42,0.582,200.67,0.329,189.64,0.161,203.79,0.077,184.09,NS
"LOBOS      WOCE fas",-80.717,-6.933,Truth_Coast,0.41,265.77,0.142,299.68,0.098,241.1,0.041,297.66,0.128,30.82,0.05,351.16,0.037,28.56,0.005,310.71,NS
"LOME       WOCE fas",1.283,6.133,Truth_Coast,0.49,103.38,0.165,133.57,0.106,98.46,0.046,126.77,0.129,353.16,0.027,330.33,0.038,349.06,0.004,83.91,NS
"SALALAH    WOCE fas",54.0194885,16.9377911,Truth_Coast,0.312,143.94,0.122,167.56,0.083,132.78,0.033,161.96,0.36,344.14,0.184,346.67,0.11,341.53,0.04,347.39,NS
"ACCCP Bouvet Island",3.024,-54.343,Truth_Pelagic,0.146,22.01,0.039,60.63,0.036,19.28,0.009,48.08,0.04,3.76,0.058,345.63,0.014,0.73,0.014,332.23,Deep
