Station,Lon,Lat,Source,M2_amp,M2_phs,S2_amp,S2_phs,N2_amp,N2_phs,K2_amp,K2_phs,K1_amp,K1_phs,O1_amp,O1_phs,P1_amp,P1_phs,Q1_amp,Q1_phs,Location
"Matarani-b",-72.116700,-17.000000,GESLA,0.311000,21.757000,0.087000,45.237000,0.070000,341.087006,0.029000,35.395000,0.157000,32.367001,0.085000,351.024994,0.047000,28.594999,0.014000,322.927002,Deep
"Mawson",62.883300,-67.600000,GESLA,0.032000,233.498993,0.112000,9.254000,0.022000,176.914993,0.033000,11.293000,0.233000,292.148987,0.252000,284.920013,0.077000,291.966003,0.059000,276.395996,Deep
"Meneng",114.387420,-8.199963,GESLA,0.458000,77.972000,0.226000,111.685997,0.088000,56.021000,0.066000,107.862999,0.311000,176.889008,0.195000,158.246002,0.094000,178.688004,0.042000,153.544998,Deep
"Minamidaito",131.226777,25.870523,GESLA,0.522000,285.756989,0.221000,311.148987,0.101000,277.162994,0.060000,305.739990,0.190000,69.656998,0.148000,51.900002,0.061000,68.051003,0.031000,39.765999,Deep
"Minamitorishima",153.976911,24.282515,GESLA,0.079000,144.912003,0.048000,189.362000,0.009000,106.773003,0.014000,188.535004,0.100000,43.508999,0.078000,20.587999,0.032000,43.960999,0.017000,7.140000,Deep
"Miyakeshima",139.546331,34.056073,GESLA,0.362000,232.710007,0.168000,260.227997,0.056000,229.845001,0.050000,256.263000,0.228000,36.192001,0.179000,18.066999,0.075000,34.363998,0.037000,8.962000,Deep
"Murotomisaki",134.162280,33.263112,GESLA,0.493000,264.946991,0.218000,289.121002,0.090000,259.687988,0.061000,283.946014,0.220000,54.300999,0.170000,34.297001,0.073000,52.000999,0.035000,22.948000,Deep
"Nacala-b",40.674362,-14.458137,GESLA,1.046000,28.226999,0.588000,55.660999,0.187000,18.464001,0.000000,0.000000,0.109000,340.998993,0.087000,7.631000,0.002000,92.038002,0.019000,359.265015,Deep
"Nakano shima",129.849149,29.837689,GESLA,0.587000,296.231995,0.253000,321.408997,0.111000,289.841003,0.071000,316.449005,0.233000,68.521004,0.181000,48.737000,0.077000,66.675003,0.038000,36.500000,Deep
"Nishinoomote",130.988386,30.735486,GESLA,0.588000,292.760010,0.257000,317.850006,0.111000,286.915009,0.071000,312.940002,0.230000,68.019997,0.180000,48.493999,0.076000,65.856003,0.038000,36.308998,Deep
"Norfolk island-b",167.933300,-29.066700,GESLA,0.524000,266.212006,0.156000,307.239990,0.086000,248.283997,0.044000,301.700989,0.099000,12.820000,0.041000,336.725006,0.030000,5.504000,0.008000,295.455994,Deep
"Noto",137.155271,37.500909,GESLA,0.058000,166.074005,0.021000,192.597000,0.015000,152.964996,0.006000,182.727997,0.054000,209.022003,0.055000,182.380005,0.018000,208.203995,0.012000,164.608994,Deep
"Nuku hiva",-140.081700,-8.930000,GESLA,0.487000,30.945999,0.082000,27.601999,0.106000,5.351000,0.023000,12.945000,0.052000,227.686005,0.030000,188.041000,0.016000,230.201996,0.005000,151.216003,Deep
